chr	start	end	name	label	original_species	tissue_positive	P300_vInpt_fbrain	P300_mbrain	H3K27ac_vInptt_fbrain	P300_vInpt_fbrain2	H3K27ac_vInpt_cbellum	H3K27me3_vInpt_cbellum	H3k4me1_vInpt_cbellum	H3k4me3_vInpt_cbellum	H3k27ac_vInpt_cortex	H3k4me1_vInpt_cortex	H3k4me3_vInpt_cortex	H3k04me1_vInpt_wbrain	H3k04me3_vInpt_wbrain	H3k09me3_vInpt_wbrain	H3k27ac_vInpt_wbrain	H3k27me3_vInpt_wbrain	H3k36me3_vInpt_wbrain	Pol2_vInpt_wbrain
chr1	68092503	68094701	element1578	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon)	0.172982	0.1621	0.0304745	-0.0207398	-0.0337095	-0.0304678	0.00251299	-0.0112221	0.00708384	0.0464582	-0.0192707	-0.00193913	0.0131432	-0.0193152	1.04082	-0.0369417	-0.0243659	-0.0528314
chr1	91744283	91746520	element921	1	Human	branchialarch,forebrain,limb	-0.00825587	0.128746	0.00262591	-0.00434912	-0.019581	-0.0213079	0.0166227	-0.0878308	0.0261644	0.033783	-0.0663832	0.830823	-0.0489149	-0.00440066	0.119007	0.0629993	-0.0129281	-0.0189589
chr1	100084419	100089828	element1649	1	Human	facialmesenchyme,forebrain,hindbrain(rhombencephalon),limb,midbrain(mesencephalon),neuraltube,nose,other	0.0823755	0.153699	0.175686	-0.0245613	-0.0280543	-0.00660297	0.424856	-0.0458612	0.52999	0.32641	-0.083401	0.0417258	-0.0712874	-0.0255795	1.65301	-0.0176804	-0.0342828	-0.0560365
chr1	111410826	111411431	element947	1	Human	forebrain	0.047647	0	0.017439	0.028912	-0.04641	-0.00569788	-0.00622838	-0.04641	-0.0126626	-0.04641	-0.04641	-0.00569602	-0.0425357	0.0010377	-0.0494919	-0.0156611	-0.0224934	0.0018122
chr1	120673103	120674626	element522	1	Human	forebrain,hindbrain(rhombencephalon),other	0.203632	0.106833	0.170942	-0.00318927	-0.0171587	-0.00585985	-0.0606404	-0.059088	-0.0737882	0.00887694	-0.0764219	1.05452	-0.0449523	0.00948489	1.89949	-0.00816579	-0.0303197	-0.136612
chr1	134976470	134977499	element1368	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	1.56219	1.13718	0.997325	0.469366	-0.0706927	-0.0355632	-0.075165	-0.121765	-0.00950943	-0.00945137	-0.0410345	1.11723	-0.117641	-0.0701603	2.10121	-0.023802	-0.0184547	-0.0472474
chr1	140395736	140397908	element1322	1	Human	branchialarch,dorsalrootganglion,forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon)	1.15316	0.274358	0.30007	0.0939279	-0.0354412	-0.0180264	-0.0352556	-0.0717322	-0.0267989	-0.0259844	0.398075	0.090883	0.0386747	-0.0389349	5.05623	-0.0437054	-0.045213	-0.00659175
chr1	167864365	167866438	element1331	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	0.29194	0.124751	0.169183	0.0909758	-0.042477	-0.0219348	0.0693256	-0.0425268	0.412865	0.291188	1.26654	0.0125816	0.575145	-0.0278326	0.942707	-0.067047	-0.0287309	0.0432472
chr1	170098750	170100204	element1191	1	Human	facialmesenchyme,forebrain	0.142211	0.104143	0.000225192	-0.0269557	-0.0165139	-0.00119784	-0.00320718	-0.0417306	0.0293296	0.068521	-0.0323295	0.0786656	-0.0370848	0.0169868	0.505751	0.00879035	0.0703034	-0.103764
chr1	170287224	170288666	element1202	1	Human	forebrain,hindbrain(rhombencephalon)	0.204459	0.452782	0.255542	0.00135209	-0.0657839	-0.0281074	0.0301992	-0.0743457	0.079141	0.300822	0.122362	0.750684	0.36899	-0.023961	1.80871	-0.0207276	-0.0238363	-0.103371
chr1	179080168	179081586	element545	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	3.61428	2.71083	0.162279	1.11743	-0.0435073	-0.0204992	0.0871674	-0.0581952	0.0486193	0.0154424	-0.0558818	-0.0495369	-0.0362174	-0.137516	0.902293	-0.0751541	-0.124211	0.134445
chr1	192477619	192479001	element204	1	Human	forebrain	0.0317699	0	0.0544642	-0.0501763	-0.0179348	0.00360759	-0.0837041	-0.0809476	-0.0442171	-0.0185247	-0.111826	0.633151	-0.050136	-0.0271437	0.480062	-0.0189832	-0.0457712	-0.100311
chr1	192551182	192554052	element1324	1	Human	forebrain	0.166715	0.139869	0.126948	0.0864248	-0.0287214	-0.00184103	-0.0139199	-0.069061	0.099222	0.204593	-0.0737511	1.69382	-0.0420292	-0.0119004	0.776563	-0.0403636	-0.0388338	-0.0545284
chr1	194624287	194626894	element646	1	Mouse	branchialarch,facialmesenchyme,forebrain,limb,nose,somite	-0.0230286	0.0911123	0.0186748	0.059987	-0.035164	-0.0140022	-0.0598828	-0.0705858	-0.000369294	-0.0051726	-0.0594951	0.156834	-0.111264	-0.0563142	-0.000876732	-0.0471064	-0.0533333	-0.089882
chr10	16948541	16952472	element1644	1	Human	eye,forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon)	0.0832569	0.204764	0.265489	0.0270726	-0.0771286	-0.0473326	-0.0165786	-0.0765429	-0.0328597	-0.0279999	-0.0562789	0.015006	-0.00163607	-0.0144674	2.29072	-0.016319	-0.0203699	-0.0508616
chr10	36203387	36205893	element693	1	Mouse	forebrain,limb,midbrain(mesencephalon),nose	-0.0411707	0.0710881	0.00562634	-0.0126694	-0.040865	-0.0209655	-0.0525032	-0.061166	-0.0452642	-0.0283883	-0.0493256	-0.0225256	-0.0553616	-0.00934498	-0.0403263	-0.0496755	-0.0264325	-0.0503099
chr10	38272075	38275885	element1302	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	4.30922	2.29574	0.46453	0.0675923	-0.0805664	-0.0679292	-0.0150755	1.96947	0.028147	-0.00644574	1.55222	-0.03112	2.73671	-0.0350754	5.40457	-0.0451754	-0.0539571	-0.0379016
chr10	86851451	86852638	element967	1	Human	forebrain	0.0691773	0.050027	0.0334057	0.00898002	-0.04641	-0.0186939	-0.04641	-0.0371295	-0.0428895	-0.00736731	-0.0570252	-0.00945986	-0.0500165	-0.00817078	0.0525948	-0.0226375	-0.0333157	-0.0333162
chr10	86907903	86912518	element1540	1	Human	forebrain,midbrain(mesencephalon)	0.0636164	0.14154	0.15877	0.0385921	-0.0286175	-0.0110078	-0.0260997	-0.0649754	-0.00864361	0.00388875	-0.0519867	0.0668691	-0.0400543	-0.0148972	0.883187	-0.0337874	-0.0537138	-0.0337635
chr10	86909293	86912234	element1354	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),nose	0.118074	0.168294	0.15877	0.0842041	-0.0259588	-0.00638991	-0.0183936	-0.0652067	-0.00237965	0.0166991	-0.0536675	0.112582	-0.014089	-0.0218973	0.883187	-0.0305705	-0.0591949	-0.0408534
chr10	86909379	86911404	element998	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),nose	0.192846	0.234597	0.15877	0.134126	-0.0294657	-0.00123659	-0.00832771	-0.0711031	-0.00649234	0.0261495	-0.0556311	0.167549	0.00403859	-0.0204858	0.883187	-0.0179841	-0.0742316	-0.0422059
chr10	92018471	92020553	element1341	1	Human	forebrain	2.30203	0.376917	0.283452	0.222865	-0.0212281	-0.0157595	0.0331799	-0.0540952	0.0447841	-0.0137786	-0.0583929	0.428944	0.0239298	-0.0227528	2.82242	-0.0191656	-0.0132466	-0.0854786
chr10	119989014	119990653	element569	1	Mouse	branchialarch,forebrain,genitaltubercle,hindbrain(rhombencephalon),neuraltube	0.0123111	0.129344	0.356466	-0.00109932	-0.00935392	0.0565327	0.295374	-0.0306212	-0.0480918	0.00628416	-0.0338662	1.18145	0.566806	-0.0271828	-0.0590249	0.155861	-0.108412	-0.0668776
chr11	18816167	18818733	element1210	1	Human	forebrain	0.145879	0.11571	0.00941972	0.0196284	-0.0522878	-0.0359249	0.0462707	-0.0749602	-0.0253812	-0.0177115	-0.0438455	0.0841199	-0.0538358	-0.0175545	0.725846	-0.0298707	-0.0121659	-0.0389159
chr11	21902483	21903827	element1066	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon)	0.203097	0.280786	0.596886	0.363085	-0.0267367	-0.000121109	0.00114361	-0.063211	0.305985	0.0338438	0.460738	0.93177	2.20129	-0.0253418	1.55284	0.597536	-0.102148	0.248715
chr11	23995054	23996665	element957	1	Human	forebrain	0.110547	0.0737217	0.0930882	0.0204458	-0.0202951	-0.0133338	-0.0464151	-0.0467516	0.598015	0.103412	-0.00719824	0.180687	0.119765	-0.0250234	1.80666	-0.0266121	-0.010652	-0.096038
chr11	24270835	24271855	element399	1	Human	forebrain	0.335973	0.0739364	0.339499	0.116579	-0.041772	-0.0097928	-0.0140494	-0.0927875	0.00782929	0.00567249	-0.0390781	0.801984	-0.0953631	-0.0514708	2.04359	-0.0476446	-0.0839753	-0.101562
chr11	24327204	24328274	element779	1	Human	forebrain,midbrain(mesencephalon)	0.0583001	0.270274	0.0346362	0.167984	-0.0273316	-0.0174504	-0.0478886	-0.0530911	-0.0127138	-0.0148519	-0.0497038	-0.0157819	-0.0878417	-0.0877267	0.0360695	-0.0243005	-0.0439999	-0.075132
chr11	44447834	44449111	element1117	1	Human	forebrain,hindbrain(rhombencephalon),neuraltube	0.00186749	0.139505	0.0205372	-0.0250571	-0.0625125	-0.0237522	-0.0294174	-0.063297	-0.0389908	-0.0170556	-0.046961	-0.0190177	-0.058883	-0.0222673	0.14572	-0.00441362	-0.00271354	-0.0398819
chr11	44469977	44471371	element1022	1	Human	cranialnerve,dorsalrootganglion,forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube,trigeminalV(ganglion,cranial)	0.0345341	0.0425983	0.00348771	0.047149	-0.0360234	-0.0111022	-0.0483391	-0.0483391	-0.0391087	-0.0344887	-0.0347012	-0.00820811	-0.0446205	-0.0315539	-0.00747836	-0.0132698	-0.0314707	0.0468664
chr11	53870165	53872917	element51	1	Mouse	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon)	0.0544812	0.151045	0.183296	0.0454894	0.0259492	-0.0473124	0.47942	-0.123464	0.264943	0.0116902	-0.102025	0.700163	-0.115787	-0.0456952	0.449379	-0.0486469	-0.0444224	-0.0679292
chr11	81426292	81427310	element1725	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	0.356611	0.291664	0.250855	0.133171	-0.0735141	-0.0896944	-0.0794922	2.30654	-0.0594161	-0.0116515	0.0479655	-0.122123	0.0660689	-0.129193	3.34774	-0.119892	-0.222155	-0.0296817
chr11	94742242	94745125	element568	1	Mouse	branchialarch,forebrain,hindbrain(rhombencephalon),neuraltube	-0.025129	0.0823896	0.110219	0.00487173	-0.0167055	0.000700052	0.0149353	-0.0472284	-0.0385274	0.175938	-0.0667443	0.643126	0.0153802	-0.00236044	0.463049	1.01339	-0.0203691	-0.061399
chr12	25808820	25810949	element1527	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	1.40503	0.303885	0.354946	0.13595	-0.0430516	-0.0205736	-0.0627162	-0.0979944	-0.0618403	-0.0411112	-0.0642434	0.20112	-0.0805888	-0.0534764	0.514463	-0.0289925	-0.0873934	-0.0420825
chr12	26576441	26577229	element388	1	Human	forebrain,limb	0.0574649	0.0753579	0.0036486	-0.0292067	-0.0362646	-0.00838385	-0.0445398	-0.0597648	-0.0325243	-0.023381	-0.0314957	0.0614616	-0.0329909	-0.0353137	0.0506131	-0.0306004	-0.0258454	-0.0514441
chr12	28248317	28251709	element1496	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	1.35951	0.250258	0.350166	0.0764525	-0.0431496	-0.0203749	-0.0324387	-0.0607546	-0.0448594	-0.00162351	-0.049739	1.60213	1.12589	-0.0157589	0.566787	-0.0187385	-0.0268594	-0.0820612
chr12	34884495	34885741	element644	1	Human	forebrain,hindbrain(rhombencephalon),limb	-0.0611358	0.013106	0.00626715	0.0863229	-0.0174254	-0.000123644	-0.0368549	-0.0530147	-0.0442808	-0.0458264	-0.0578127	0.00194605	-0.0815348	-0.0385484	-0.0172293	-0.0287586	-0.0512631	-0.0359912
chr12	40027691	40028748	element550	1	Human	branchialarch,forebrain	0.641671	0.11236	0.0139638	0.208041	-0.0161023	-0.0570891	0.142483	-0.104115	-0.0120536	0.0145942	-0.011893	0.0793548	-0.031459	-0.0319995	0.365971	-0.0118219	-0.0258366	-0.0565349
chr12	45503506	45506757	element16	1	Mouse	forebrain,midbrain(mesencephalon)	1.3803	0.110965	0.196163	0.14735	-0.0365043	-0.0378442	0.0412715	-0.0966008	0.403138	0.0749073	-0.0672207	0.0789341	-0.0528474	-0.0148008	0.458008	-0.0258189	-0.0165741	-0.0580838
chr12	50475492	50477055	element1064	1	Human	forebrain,hindbrain(rhombencephalon)	0.103245	0.0379923	0.48413	0.0666839	-0.00931274	-0.00152297	-0.0478019	-0.0491102	0.581975	0.131265	1.1273	0.0046866	1.58601	-0.025349	0.713563	1.21704	-0.0340553	0.00923562
chr12	51045696	51047526	element566	1	Human	forebrain	0.080729	0.0973475	0.00590884	-0.0146705	-0.0467748	-0.0166917	-0.040572	-0.0482346	0.0280789	0.065138	-0.0298048	-0.00130851	-0.0504714	-0.0106782	0.971975	-0.0108281	-0.017919	-0.0359754
chr12	51220046	51222585	element1523	1	Human	forebrain,midbrain(mesencephalon)	4.46413	0.163717	0.25827	0.285088	-0.0506028	-0.0149838	-0.0318147	-0.066874	0.897054	0.0310202	0.0451997	-0.0621978	0.00249933	-0.0649072	1.47801	-0.0305006	-0.0789792	-0.000353117
chr12	51222566	51224516	element342	1	Human	forebrain	0.366449	0.0610569	0.0174017	-0.00896498	-0.0410835	-0.0194211	-0.0510069	-0.0510069	-0.0232413	0.0117638	-0.0508292	-0.02961	-0.0577682	-0.0276147	0.474089	-0.00679697	-0.0404776	-0.100635
chr12	52102388	52104278	element433	1	Human	forebrain,hindbrain(rhombencephalon)	2.47675	0.291729	0.353459	0.758047	-0.0434247	-0.0143632	-0.0173232	-0.0549258	0.319319	0.0259767	-0.0407472	0.158222	-0.00051489	-0.0342821	3.13022	-0.0132288	-0.0442095	0.0019943
chr12	56715257	56716245	element348	1	Human	forebrain	0.00497548	0	0.00761102	0.00971372	-0.0509464	-0.00298032	0.00299325	-0.0509464	-0.0219295	-0.0231776	-0.0539267	-0.0513669	-0.0765222	-0.0186781	-0.0370947	-0.0345657	-0.0202207	0.0769216
chr12	57621170	57622016	element1166	1	Human	forebrain	-0.0309562	0	0.0450523	0.0983819	-0.0676582	0.00223222	-0.0434824	-0.069395	-0.0305121	-0.0287636	-0.0314223	-0.00359104	0.0106191	0.0140128	0.0236508	1.44973	-0.0221979	-0.0667547
chr12	88141522	88144552	element1466	1	Human	branchialarch,dorsalrootganglion,forebrain,heart,hindbrain(rhombencephalon),limb,midbrain(mesencephalon),neuraltube	0.036144	0.122292	0.450436	0.090786	0.646904	-0.171446	0.59683	-0.0414501	1.39003	0.329019	-0.0557072	1.23721	-0.0207426	-0.0300617	1.77489	-0.0351363	-0.0497027	-0.09728
chr12	109016128	109017121	element622	1	Human	forebrain	0.0882751	0.0598006	-0.00242134	0.0130396	-0.00980783	-0.00151416	-0.0215084	-0.0538918	-0.0245535	-0.0252026	-0.0504416	0.0256944	-0.0435785	-0.00867086	0.0520814	-0.0372825	-0.033891	-0.0544833
chr12	112380949	112381824	element3	1	Mouse	forebrain,hindbrain(rhombencephalon),neuraltube	0.0809083	0.563627	0.541626	0.0127008	-0.0237934	0.000901383	0.0442107	0.0463617	-0.0308027	0.0331721	-0.089038	3.7926	-0.0220541	-0.0282004	0.944999	-0.0439083	-0.0928728	-0.186321
chr12	119044146	119045319	element807	1	Human	forebrain	0.194191	0.10125	0.00994914	0.101161	-0.0372663	-0.0553583	0.0842124	0.317247	0.367208	0.0349504	0.612225	0.136545	0.705919	0.039213	0.0865581	0.12586	0.00746691	-0.0683616
chr12	119888961	119890205	element1226	1	Human	cranialnerve,eye,forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	0.168562	0.300731	0.0128234	-0.00396333	-0.0257978	-0.0184471	-0.053999	-0.0453603	-0.0164833	-0.0311041	-0.0480338	0.00697984	-0.100262	-0.0539333	0.035741	0.000238449	-0.0651995	-0.0710701
chr12	119958141	119959608	element110	1	Human	forebrain	0.273824	0	-0.00907033	0.0545773	-0.0525204	-0.0215221	-0.0451398	-0.0525204	-0.0494277	-0.0295466	-0.0383016	-0.0153497	-0.0341532	-0.0150776	-0.0137793	-0.0248543	-0.0135035	0.0996001
chr12	119963922	119965376	element1007	1	Human	facialmesenchyme,forebrain	0.10224	0.206449	4.36e-05	0.105239	-0.046249	-0.00861354	-0.0402064	-0.04641	0.00525852	-0.00599712	-0.04641	-0.00578953	-0.0522876	-0.0101566	0.0505362	-0.00451594	-0.0184071	-0.0239064
chr12	120072953	120074549	element1019	1	Human	forebrain	-0.0428218	0.111621	-0.0248917	-0.0090555	-0.0418977	-0.0207848	-0.0353118	-0.0535956	-0.0510185	-0.0390599	-0.052358	-0.0600551	-0.0846911	-0.0359261	-0.0565358	0.0412834	-0.0721916	0.0163467
chr12	120078517	120079917	element844	1	Human	facialmesenchyme,forebrain	0.061041	0.127248	0.011961	0.0832523	-0.070615	-0.0425215	-0.0472557	-0.109985	-0.043288	-0.0297369	-0.0399761	-0.0156522	-0.021772	-0.0109447	0.0757614	0.618292	-0.0356859	-0.104342
chr13	15577283	15579001	element1213	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon)	0.0639342	0.437593	0.0415999	-0.0444339	-0.0302843	-0.00349803	-0.0377957	-0.0423995	-0.036275	-0.0162872	-0.0481237	0.0146566	-0.0389773	-0.0256515	0.601963	-0.0274281	-0.0275387	-0.0744635
chr13	15634863	15636840	element111	1	Human	forebrain	0.253847	0.120147	0.177154	0.0998414	-0.0336236	-0.0227964	-0.0281145	-0.060023	0.389888	0.20095	-0.0501737	0.705375	-0.0842179	-0.0504037	0.693292	-0.0362233	-0.0538101	-0.0810808
chr13	26245822	26247995	element1352	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	2.27329	1.58552	0.302806	1.2007	-0.0556876	-0.0707105	-0.011746	-0.104093	-0.0176467	0.0171009	-0.0497233	0.091941	-0.0716311	-0.0313033	0.457848	-0.0336778	-0.031512	-0.0699861
chr13	28507001	28509797	element1335	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	2.73541	0.410434	0.184721	0.813388	0.423841	-0.0924616	0.0130596	0.609506	0.311017	0.0240947	3.54613	0.135022	0.568714	-0.025118	5.05537	-0.0494933	-0.0432757	-0.017834
chr13	34339054	34341712	element1391	1	Human	forebrain,midbrain(mesencephalon)	1.14908	0.357458	0.519538	0.130083	0.00119432	-0.0262262	0.00965433	-0.105729	0.736612	0.172893	-0.0993081	2.06789	-0.106764	-0.0484118	5.17803	-0.0261153	-0.0358814	-0.021829
chr13	39615137	39616718	element1315	1	Human	cranialnerve,dorsalrootganglion,forebrain,limb,midbrain(mesencephalon),trigeminalV(ganglion,cranial)	0.301376	0.300481	0.0537629	0.19789	-0.0310142	0.0132278	-0.0174565	-0.0465368	-0.0318585	-0.0117881	-0.055484	0.0660061	0.0113747	0.000653858	0.0922248	0.0110485	-0.0244446	-0.0498558
chr13	47405953	47407586	element1052	1	Human	branchialarch,cranialnerve,forebrain,other	0.096817	0.0727286	-0.00810136	0.102053	-0.0141134	-0.0154201	-0.0378617	-0.0498818	-0.000980105	0.0024091	-0.06912	0.0931034	-0.098128	-0.075178	0.0792657	-0.0506711	-0.0660807	-0.0461558
chr13	48253789	48257457	element1533	1	Human	eye,forebrain,midbrain(mesencephalon)	0.14305	0.186339	0.124136	0.034191	-0.0195825	-0.0213515	-0.0307383	-0.0404704	-0.030702	-0.0134936	-0.0445147	0.108906	-0.00935075	-0.0304521	0.437889	-0.0335612	-0.0673313	-0.0355183
chr13	48478914	48480301	element1175	1	Human	forebrain,nose	0.264029	0.0944032	0.191339	0.15689	-0.0633477	-0.0251582	-0.0471691	-0.0765045	-0.00507064	-0.00206904	-0.0344273	0.0549441	-0.0712841	-0.0158778	0.580166	-0.0223168	-0.0311401	-0.103992
chr13	52015574	52016990	element1339	1	Human	dorsalrootganglion,forebrain,hindbrain(rhombencephalon),limb,midbrain(mesencephalon),neuraltube,nose	2.26601	0.829934	0.185293	2.06194	0.000481716	-0.0126999	0.570502	-0.0807619	-0.0560794	-0.0223165	-0.141091	0.858887	-0.140302	-0.114656	2.01101	-0.09932	-0.145713	-0.0353002
chr13	53558572	53560218	element1256	1	Human	forebrain,hindbrain(rhombencephalon),limb,nose	-0.0125276	0.129695	0.00672591	-0.0393918	-0.000659989	0.0154207	-0.0165889	-0.012265	-0.0494876	-0.0141345	-0.055699	0.0942694	-0.0916691	-0.0494699	-0.0188337	1.02632	-0.0636421	-0.0606045
chr13	59191545	59195519	element14	1	Mouse	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon)	1.07359	1.59384	0.19291	0.0196251	-0.00779862	-0.0527952	0.00632634	-0.102752	1.40282	0.282976	-0.153866	0.611539	-0.0804156	-0.027064	4.18873	-0.0377268	-0.0564107	-0.0692153
chr13	60247042	60250560	element745	1	Mouse	forebrain,hindbrain(rhombencephalon),limb,midbrain(mesencephalon),neuraltube,nose,somite	0.00981204	0.200024	0.285772	0.00680508	-0.0266096	-0.0568438	-0.0618463	-0.0509027	-0.0399384	-0.0274343	0.996243	1.34376	1.01236	-0.0240783	0.96131	-0.0149456	-0.0598532	-0.0465292
chr13	63655468	63657042	element1258	1	Human	forebrain,hindbrain(rhombencephalon),midbrain(mesencephalon),neuraltube	2.50697	0.16468	0.279522	0.319517	0.0989362	-0.0407807	0.653687	-0.0173339	0.00168482	0.036455	-0.0192527	0.0201224	0.0233654	-0.0313006	0.722339	-0.0293627	-0.0395808	-0.0864357
chr13	63670225	63671053	element1417	1	Human	forebrain	-0.0486005	0.185749	0.0130065	0.0555176	-0.0209296	-0.0360898	-0.00788979	-0.0139745	0.0144463	0.059239	-0.0430862	0.143555	0.00512864	-0.0302887	-0.00784227	0.138288	-0.0698724	-0.0736091
chr13	72425885	72426931	element754	1	Human	forebrain,hindbrain(rhombencephalon)	0.226802	0.0567706	0.0103599	0.0262904	-0.0152741	0.013894	-0.0485156	-0.057563	-0.0540363	-0.0234359	-0.0761963	0.7845	-0.117301	-0.0773887	0.00709183	0.0117719	-0.166787	-0.0467528
chr13	78031473	78032794	element271	1	Human	forebrain,midbrain(mesencephalon)	1.57907	0.264772	0.24672	0.182288	-0.0379109	-0.0249627	-0.0369439	-0.0322645	-0.0264631	-0.00434744	-0.0645751	-0.0490535	-0.122248	-0.0845677	1.09973	-0.0507491	-0.109265	-0.00244727
chr13	78719845	78721773	element1172	1	Human	eye,forebrain	0.291219	0.154001	0.00641883	0.0548917	-0.0484863	-0.0249773	-0.0225743	-0.0648679	0.0258303	-0.0214934	-0.0534161	0.00573324	-0.0395465	-0.018993	0.0673927	-0.0209384	-0.00257654	-0.0292157
chr13	78740226	78743005	element1060	1	Human	forebrain,hindbrain(rhombencephalon)	0.0557872	0.106841	-0.00172042	0.0240978	-0.0487915	-0.0159822	-0.0236257	-0.0541408	-0.0268371	-0.0228075	-0.0456188	0.0257094	-0.0540813	-0.0238011	0.543107	-0.0131077	-0.0244424	-0.0537647
chr13	79076503	79078270	element1024	1	Human	forebrain	0.0760494	0.134425	0.0493745	0.0803925	-0.0456629	-0.016848	-0.0027334	-0.0444492	-0.0079049	0.0185086	-0.0428317	-0.016382	-0.0679576	-0.0300073	0.424457	-0.0442303	-0.0375476	-0.0270673
