accession	in approved list	organism	life stage	age	assay	tissue/cell line	target	status	description	fileFormat	fileSize	URL	md5sum	assembly	lab	date created	biologicalReplicate	technicalReplicate	run type	read length	control details(@Accession;URL;md5Sum)	friendly name
ENCSR066LZB	NA	mm	embryonic	11.5day	ChIP-seq	forebrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse forebrain	fastq	1867466367	https://www.encodedcc.org/files/ENCFF002DTI/@@download/ENCFF002DTI.fastq.gz	991f0b39025eca152f39d84b230f3f05	NA	bing-ren	2014-07-01	1	1	Single-ended	50nt	@ENCSR024JAN;https://www.encodedcc.org/files/ENCFF001ZUM/@@download/ENCFF001ZUM.fastq.gz;73d3d4ad0432d951a910cda3afdec7f2@ENCSR024JAN;https://www.encodedcc.org/files/ENCFF001ZUS/@@download/ENCFF001ZUS.fastq.gz;3c3f26197d45de02cc02b9b7a69f531f	ENCSR066LZB_mm_embryonic_11.5day_forebrain_ChIP-seq_H3K36me3_1_1
ENCSR445UYH	NA	mm	embryonic	11.5day	ChIP-seq	neural tube	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse neural tube	fastq	660416542	https://www.encodedcc.org/files/ENCFF002BVI/@@download/ENCFF002BVI.fastq.gz	16242d1555533ff5a8f73d3d1c0d7c42	NA	bing-ren	2014-05-29	1	2	Single-ended	36nt	@ENCSR138YZB;https://www.encodedcc.org/files/ENCFF001ZUR/@@download/ENCFF001ZUR.fastq.gz;1ee4da3686be266caea2ee863bf97c27@ENCSR138YZB;https://www.encodedcc.org/files/ENCFF001ZVD/@@download/ENCFF001ZVD.fastq.gz;01449d31d98260546b1d2c956d3fee5b	ENCSR445UYH_mm_embryonic_11.5day_neural tube_ChIP-seq_H3K36me3_1_2
ENCSR445UYH	NA	mm	embryonic	11.5day	ChIP-seq	neural tube	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse neural tube	fastq	608232692	https://www.encodedcc.org/files/ENCFF002BVM/@@download/ENCFF002BVM.fastq.gz	3c96570a6e9554d768a3b3c92e5cf39b	NA	bing-ren	2014-05-29	2	2	Single-ended	36nt	@ENCSR138YZB;https://www.encodedcc.org/files/ENCFF001ZUR/@@download/ENCFF001ZUR.fastq.gz;1ee4da3686be266caea2ee863bf97c27@ENCSR138YZB;https://www.encodedcc.org/files/ENCFF001ZVD/@@download/ENCFF001ZVD.fastq.gz;01449d31d98260546b1d2c956d3fee5b	ENCSR445UYH_mm_embryonic_11.5day_neural tube_ChIP-seq_H3K36me3_2_2
ENCSR445UYH	NA	mm	embryonic	11.5day	ChIP-seq	neural tube	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse neural tube	fastq	649961202	https://www.encodedcc.org/files/ENCFF002BVL/@@download/ENCFF002BVL.fastq.gz	b5022cdce2ac6f81a740778c5e03fd30	NA	bing-ren	2014-05-29	2	1	Single-ended	36nt	@ENCSR138YZB;https://www.encodedcc.org/files/ENCFF001ZUR/@@download/ENCFF001ZUR.fastq.gz;1ee4da3686be266caea2ee863bf97c27@ENCSR138YZB;https://www.encodedcc.org/files/ENCFF001ZVD/@@download/ENCFF001ZVD.fastq.gz;01449d31d98260546b1d2c956d3fee5b	ENCSR445UYH_mm_embryonic_11.5day_neural tube_ChIP-seq_H3K36me3_2_1
ENCSR445UYH	NA	mm	embryonic	11.5day	ChIP-seq	neural tube	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse neural tube	fastq	671363273	https://www.encodedcc.org/files/ENCFF002BVK/@@download/ENCFF002BVK.fastq.gz	909805f1e7621c19f0ca71e555530615	NA	bing-ren	2014-05-29	1	1	Single-ended	36nt	@ENCSR138YZB;https://www.encodedcc.org/files/ENCFF001ZUR/@@download/ENCFF001ZUR.fastq.gz;1ee4da3686be266caea2ee863bf97c27@ENCSR138YZB;https://www.encodedcc.org/files/ENCFF001ZVD/@@download/ENCFF001ZVD.fastq.gz;01449d31d98260546b1d2c956d3fee5b	ENCSR445UYH_mm_embryonic_11.5day_neural tube_ChIP-seq_H3K36me3_1_1
ENCSR932BNP	NA	mm	embryonic	11.5day	ChIP-seq	liver	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse liver	fastq	636779641	https://www.encodedcc.org/files/ENCFF002BVD/@@download/ENCFF002BVD.fastq.gz	fbee9c25001d68048a5aa92cf341423d	NA	bing-ren	2014-05-29	2	2	Single-ended	36nt	@ENCSR573MJR;https://www.encodedcc.org/files/ENCFF001ZUT/@@download/ENCFF001ZUT.fastq.gz;20cfb93ec5ecaaa958b9c1d5041221f5@ENCSR573MJR;https://www.encodedcc.org/files/ENCFF001ZUU/@@download/ENCFF001ZUU.fastq.gz;643f59605db97d367f6b211999c0aa0b	ENCSR932BNP_mm_embryonic_11.5day_liver_ChIP-seq_H3K36me3_2_2
ENCSR932BNP	NA	mm	embryonic	11.5day	ChIP-seq	liver	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse liver	fastq	630571353	https://www.encodedcc.org/files/ENCFF002BVJ/@@download/ENCFF002BVJ.fastq.gz	59f2a0166a57302b9e37911c458f1106	NA	bing-ren	2014-05-29	1	2	Single-ended	36nt	@ENCSR573MJR;https://www.encodedcc.org/files/ENCFF001ZUT/@@download/ENCFF001ZUT.fastq.gz;20cfb93ec5ecaaa958b9c1d5041221f5@ENCSR573MJR;https://www.encodedcc.org/files/ENCFF001ZUU/@@download/ENCFF001ZUU.fastq.gz;643f59605db97d367f6b211999c0aa0b	ENCSR932BNP_mm_embryonic_11.5day_liver_ChIP-seq_H3K36me3_1_2
ENCSR932BNP	NA	mm	embryonic	11.5day	ChIP-seq	liver	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse liver	fastq	646604710	https://www.encodedcc.org/files/ENCFF002BVF/@@download/ENCFF002BVF.fastq.gz	75e727ad68682fd8fa46fa0ce2c1d5d4	NA	bing-ren	2014-05-29	2	1	Single-ended	36nt	@ENCSR573MJR;https://www.encodedcc.org/files/ENCFF001ZUT/@@download/ENCFF001ZUT.fastq.gz;20cfb93ec5ecaaa958b9c1d5041221f5@ENCSR573MJR;https://www.encodedcc.org/files/ENCFF001ZUU/@@download/ENCFF001ZUU.fastq.gz;643f59605db97d367f6b211999c0aa0b	ENCSR932BNP_mm_embryonic_11.5day_liver_ChIP-seq_H3K36me3_2_1
ENCSR932BNP	NA	mm	embryonic	11.5day	ChIP-seq	liver	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse liver	fastq	697063202	https://www.encodedcc.org/files/ENCFF002BVH/@@download/ENCFF002BVH.fastq.gz	360c11665b5a6c28e3f19cf4154e7522	NA	bing-ren	2014-05-29	1	1	Single-ended	36nt	@ENCSR573MJR;https://www.encodedcc.org/files/ENCFF001ZUT/@@download/ENCFF001ZUT.fastq.gz;20cfb93ec5ecaaa958b9c1d5041221f5@ENCSR573MJR;https://www.encodedcc.org/files/ENCFF001ZUU/@@download/ENCFF001ZUU.fastq.gz;643f59605db97d367f6b211999c0aa0b	ENCSR932BNP_mm_embryonic_11.5day_liver_ChIP-seq_H3K36me3_1_1
ENCSR175QZX	NA	mm	embryonic	11.5day	ChIP-seq	hindbrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse hindbrain	fastq	626626890	https://www.encodedcc.org/files/ENCFF002BVB/@@download/ENCFF002BVB.fastq.gz	8de2922a8349b4f5fe7be3e47b7e71b5	NA	bing-ren	2014-05-29	2	2	Single-ended	36nt	@ENCSR563WKD;https://www.encodedcc.org/files/ENCFF001ZUX/@@download/ENCFF001ZUX.fastq.gz;d18f04f0797a1c13d853bffbec34bcf0@ENCSR563WKD;https://www.encodedcc.org/files/ENCFF001ZVB/@@download/ENCFF001ZVB.fastq.gz;6cf33fe9a19ca2b567aecbfb9944a8ad	ENCSR175QZX_mm_embryonic_11.5day_hindbrain_ChIP-seq_H3K36me3_2_2
ENCSR175QZX	NA	mm	embryonic	11.5day	ChIP-seq	hindbrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse hindbrain	fastq	640228574	https://www.encodedcc.org/files/ENCFF002BVG/@@download/ENCFF002BVG.fastq.gz	ab1c24341ae7a593026fb114e0cb60e9	NA	bing-ren	2014-05-29	1	2	Single-ended	36nt	@ENCSR563WKD;https://www.encodedcc.org/files/ENCFF001ZUX/@@download/ENCFF001ZUX.fastq.gz;d18f04f0797a1c13d853bffbec34bcf0@ENCSR563WKD;https://www.encodedcc.org/files/ENCFF001ZVB/@@download/ENCFF001ZVB.fastq.gz;6cf33fe9a19ca2b567aecbfb9944a8ad	ENCSR175QZX_mm_embryonic_11.5day_hindbrain_ChIP-seq_H3K36me3_1_2
ENCSR175QZX	NA	mm	embryonic	11.5day	ChIP-seq	hindbrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse hindbrain	fastq	662226316	https://www.encodedcc.org/files/ENCFF002BVC/@@download/ENCFF002BVC.fastq.gz	af0a2f11eca4ab51298ff648529a9a13	NA	bing-ren	2014-05-29	2	1	Single-ended	36nt	@ENCSR563WKD;https://www.encodedcc.org/files/ENCFF001ZUX/@@download/ENCFF001ZUX.fastq.gz;d18f04f0797a1c13d853bffbec34bcf0@ENCSR563WKD;https://www.encodedcc.org/files/ENCFF001ZVB/@@download/ENCFF001ZVB.fastq.gz;6cf33fe9a19ca2b567aecbfb9944a8ad	ENCSR175QZX_mm_embryonic_11.5day_hindbrain_ChIP-seq_H3K36me3_2_1
ENCSR175QZX	NA	mm	embryonic	11.5day	ChIP-seq	hindbrain	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse hindbrain	fastq	696191502	https://www.encodedcc.org/files/ENCFF002BVE/@@download/ENCFF002BVE.fastq.gz	31d78d439410f7287ab3258245582c6e	NA	bing-ren	2014-05-29	1	1	Single-ended	36nt	@ENCSR563WKD;https://www.encodedcc.org/files/ENCFF001ZUX/@@download/ENCFF001ZUX.fastq.gz;d18f04f0797a1c13d853bffbec34bcf0@ENCSR563WKD;https://www.encodedcc.org/files/ENCFF001ZVB/@@download/ENCFF001ZVB.fastq.gz;6cf33fe9a19ca2b567aecbfb9944a8ad	ENCSR175QZX_mm_embryonic_11.5day_hindbrain_ChIP-seq_H3K36me3_1_1
ENCSR631KAJ	NA	mm	embryonic	11.5day	ChIP-seq	heart	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse heart	fastq	578976487	https://www.encodedcc.org/files/ENCFF002BUV/@@download/ENCFF002BUV.fastq.gz	c90f83267a0b282f7f7f04d8502da1bf	NA	bing-ren	2014-05-29	2	2	Single-ended	36nt	@ENCSR317ENO;https://www.encodedcc.org/files/ENCFF001ZUY/@@download/ENCFF001ZUY.fastq.gz;918c40634e884cb224880a68d8b8be3f@ENCSR317ENO;https://www.encodedcc.org/files/ENCFF001ZVC/@@download/ENCFF001ZVC.fastq.gz;aa364fea6a3ac2fca50f9008a1f47133	ENCSR631KAJ_mm_embryonic_11.5day_heart_ChIP-seq_H3K36me3_2_2
ENCSR631KAJ	NA	mm	embryonic	11.5day	ChIP-seq	heart	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse heart	fastq	682798272	https://www.encodedcc.org/files/ENCFF002BVA/@@download/ENCFF002BVA.fastq.gz	6ebfe5276ca5ff086b0999bd6ff5867d	NA	bing-ren	2014-05-29	1	2	Single-ended	36nt	@ENCSR317ENO;https://www.encodedcc.org/files/ENCFF001ZUY/@@download/ENCFF001ZUY.fastq.gz;918c40634e884cb224880a68d8b8be3f@ENCSR317ENO;https://www.encodedcc.org/files/ENCFF001ZVC/@@download/ENCFF001ZVC.fastq.gz;aa364fea6a3ac2fca50f9008a1f47133	ENCSR631KAJ_mm_embryonic_11.5day_heart_ChIP-seq_H3K36me3_1_2
ENCSR631KAJ	NA	mm	embryonic	11.5day	ChIP-seq	heart	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse heart	fastq	629291385	https://www.encodedcc.org/files/ENCFF002BUX/@@download/ENCFF002BUX.fastq.gz	4aa6bcf367bbe96ab30fff9198ee9995	NA	bing-ren	2014-05-29	2	1	Single-ended	36nt	@ENCSR317ENO;https://www.encodedcc.org/files/ENCFF001ZUY/@@download/ENCFF001ZUY.fastq.gz;918c40634e884cb224880a68d8b8be3f@ENCSR317ENO;https://www.encodedcc.org/files/ENCFF001ZVC/@@download/ENCFF001ZVC.fastq.gz;aa364fea6a3ac2fca50f9008a1f47133	ENCSR631KAJ_mm_embryonic_11.5day_heart_ChIP-seq_H3K36me3_2_1
ENCSR631KAJ	NA	mm	embryonic	11.5day	ChIP-seq	heart	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse heart	fastq	687770065	https://www.encodedcc.org/files/ENCFF002BUT/@@download/ENCFF002BUT.fastq.gz	232a1453ceec545798680cff5319b8e3	NA	bing-ren	2014-05-29	1	1	Single-ended	36nt	@ENCSR317ENO;https://www.encodedcc.org/files/ENCFF001ZUY/@@download/ENCFF001ZUY.fastq.gz;918c40634e884cb224880a68d8b8be3f@ENCSR317ENO;https://www.encodedcc.org/files/ENCFF001ZVC/@@download/ENCFF001ZVC.fastq.gz;aa364fea6a3ac2fca50f9008a1f47133	ENCSR631KAJ_mm_embryonic_11.5day_heart_ChIP-seq_H3K36me3_1_1
ENCSR027DMG	NA	mm	embryonic	11.5day	ChIP-seq	embryonic facial prominence	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse embryonic facial prominence	fastq	608095881	https://www.encodedcc.org/files/ENCFF002BUS/@@download/ENCFF002BUS.fastq.gz	0cb526ac7ce78819beaf2a70660f9f29	NA	bing-ren	2014-05-29	2	2	Single-ended	36nt	@ENCSR068AQC;https://www.encodedcc.org/files/ENCFF001ZUI/@@download/ENCFF001ZUI.fastq.gz;2c24d2e9b33a8f9a2678427bf75e4ff4@ENCSR068AQC;https://www.encodedcc.org/files/ENCFF001ZUJ/@@download/ENCFF001ZUJ.fastq.gz;898027ed592b360dfc6a36e74707ced8	ENCSR027DMG_mm_embryonic_11.5day_embryonic facial prominence_ChIP-seq_H3K36me3_2_2
ENCSR027DMG	NA	mm	embryonic	11.5day	ChIP-seq	embryonic facial prominence	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse embryonic facial prominence	fastq	617549834	https://www.encodedcc.org/files/ENCFF002BUW/@@download/ENCFF002BUW.fastq.gz	57e5ce7bd4bd9df0198e85d7d3c863db	NA	bing-ren	2014-05-29	1	2	Single-ended	36nt	@ENCSR068AQC;https://www.encodedcc.org/files/ENCFF001ZUI/@@download/ENCFF001ZUI.fastq.gz;2c24d2e9b33a8f9a2678427bf75e4ff4@ENCSR068AQC;https://www.encodedcc.org/files/ENCFF001ZUJ/@@download/ENCFF001ZUJ.fastq.gz;898027ed592b360dfc6a36e74707ced8	ENCSR027DMG_mm_embryonic_11.5day_embryonic facial prominence_ChIP-seq_H3K36me3_1_2
ENCSR027DMG	NA	mm	embryonic	11.5day	ChIP-seq	embryonic facial prominence	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse embryonic facial prominence	fastq	665140609	https://www.encodedcc.org/files/ENCFF002BUY/@@download/ENCFF002BUY.fastq.gz	80f48fb497a0c0a05c75797514e1cf42	NA	bing-ren	2014-05-29	1	1	Single-ended	36nt	@ENCSR068AQC;https://www.encodedcc.org/files/ENCFF001ZUI/@@download/ENCFF001ZUI.fastq.gz;2c24d2e9b33a8f9a2678427bf75e4ff4@ENCSR068AQC;https://www.encodedcc.org/files/ENCFF001ZUJ/@@download/ENCFF001ZUJ.fastq.gz;898027ed592b360dfc6a36e74707ced8	ENCSR027DMG_mm_embryonic_11.5day_embryonic facial prominence_ChIP-seq_H3K36me3_1_1
ENCSR027DMG	NA	mm	embryonic	11.5day	ChIP-seq	embryonic facial prominence	H3K36me3	released	H3K36me3 ChIP-seq on embryonic 11.5 day mouse embryonic facial prominence	fastq	662608631	https://www.encodedcc.org/files/ENCFF002BUR/@@download/ENCFF002BUR.fastq.gz	d53a233468942eba1fb1a6777073d48a	NA	bing-ren	2014-05-29	2	1	Single-ended	36nt	@ENCSR068AQC;https://www.encodedcc.org/files/ENCFF001ZUI/@@download/ENCFF001ZUI.fastq.gz;2c24d2e9b33a8f9a2678427bf75e4ff4@ENCSR068AQC;https://www.encodedcc.org/files/ENCFF001ZUJ/@@download/ENCFF001ZUJ.fastq.gz;898027ed592b360dfc6a36e74707ced8	ENCSR027DMG_mm_embryonic_11.5day_embryonic facial prominence_ChIP-seq_H3K36me3_2_1
ENCSR642VYW	NA	mm	postnatal	0day	ChIP-seq	intestine	H3K27ac	released	H3K27ac ChIP-seq on postnatal 0 day mouse intestine	fastq	584093424	https://www.encodedcc.org/files/ENCFF002BUQ/@@download/ENCFF002BUQ.fastq.gz	6e134b3f66007a069a0fdf3119c1adfa	NA	bing-ren	2014-05-29	1	2	Single-ended	36nt	@ENCSR066SPF;https://www.encodedcc.org/files/ENCFF002AQT/@@download/ENCFF002AQT.fastq.gz;118641a97ad8cdaaff4f38fe9e95e92c@ENCSR066SPF;https://www.encodedcc.org/files/ENCFF002AQX/@@download/ENCFF002AQX.fastq.gz;0a46fb9219b77a74246ffe3238f1bb9d	ENCSR642VYW_mm_postnatal_0day_intestine_ChIP-seq_H3K27ac_1_2
ENCSR642VYW	NA	mm	postnatal	0day	ChIP-seq	intestine	H3K27ac	released	H3K27ac ChIP-seq on postnatal 0 day mouse intestine	fastq	599095079	https://www.encodedcc.org/files/ENCFF002BUZ/@@download/ENCFF002BUZ.fastq.gz	fc8d93c6cbd44d354bf8115e419dc5a0	NA	bing-ren	2014-05-29	2	2	Single-ended	36nt	@ENCSR066SPF;https://www.encodedcc.org/files/ENCFF002AQT/@@download/ENCFF002AQT.fastq.gz;118641a97ad8cdaaff4f38fe9e95e92c@ENCSR066SPF;https://www.encodedcc.org/files/ENCFF002AQX/@@download/ENCFF002AQX.fastq.gz;0a46fb9219b77a74246ffe3238f1bb9d	ENCSR642VYW_mm_postnatal_0day_intestine_ChIP-seq_H3K27ac_2_2
ENCSR642VYW	NA	mm	postnatal	0day	ChIP-seq	intestine	H3K27ac	released	H3K27ac ChIP-seq on postnatal 0 day mouse intestine	fastq	665159127	https://www.encodedcc.org/files/ENCFF002BUP/@@download/ENCFF002BUP.fastq.gz	6b66925cd582ee246d26b3e648cd31f6	NA	bing-ren	2014-05-29	1	1	Single-ended	36nt	@ENCSR066SPF;https://www.encodedcc.org/files/ENCFF002AQT/@@download/ENCFF002AQT.fastq.gz;118641a97ad8cdaaff4f38fe9e95e92c@ENCSR066SPF;https://www.encodedcc.org/files/ENCFF002AQX/@@download/ENCFF002AQX.fastq.gz;0a46fb9219b77a74246ffe3238f1bb9d	ENCSR642VYW_mm_postnatal_0day_intestine_ChIP-seq_H3K27ac_1_1
ENCSR642VYW	NA	mm	postnatal	0day	ChIP-seq	intestine	H3K27ac	released	H3K27ac ChIP-seq on postnatal 0 day mouse intestine	fastq	650751107	https://www.encodedcc.org/files/ENCFF002BUU/@@download/ENCFF002BUU.fastq.gz	608ea89d88c9f67ad2b4ef6081221a00	NA	bing-ren	2014-05-29	2	1	Single-ended	36nt	@ENCSR066SPF;https://www.encodedcc.org/files/ENCFF002AQT/@@download/ENCFF002AQT.fastq.gz;118641a97ad8cdaaff4f38fe9e95e92c@ENCSR066SPF;https://www.encodedcc.org/files/ENCFF002AQX/@@download/ENCFF002AQX.fastq.gz;0a46fb9219b77a74246ffe3238f1bb9d	ENCSR642VYW_mm_postnatal_0day_intestine_ChIP-seq_H3K27ac_2_1
